"RowNumber","BreedName","ZipCode","Borough","cleaned_borough","supposed_borough","LicenseIssuedDate","LicenseExpiredDate","issued_year","expired_year"
32990,"Dachshund, Wirehaired, Miniature",11357,"brooklyn","brooklyn","queens",2015-09-15,2016-09-15,2015,2016
33214,"Collie, Border",11732,"queens","queens","east norwich",2015-09-16,2016-09-04,2015,2016
33234,"Papillon",11758,"queens","queens","massapequa",2015-09-16,2018-08-23,2015,2018
33469,"Poodle, Miniature",10075,"brooklyn","brooklyn","new york",2015-09-19,2016-09-19,2015,2016
33556,"Miniature Pinscher",11552,"staten island","staten","west hempstead",2015-09-20,2016-09-20,2015,2016
33606,"Pomeranian",10004,"new york","unknown","new york",2015-09-20,2020-09-20,2015,2020
33753,"Dachshund Smooth Coat",11368,"brooklyn","brooklyn","queens",2015-09-22,2016-07-14,2015,2016
33791,"Bull Dog, English",11040,"queens","queens","new hyde park",2015-09-22,2017-10-06,2015,2017
33874,"Pomeranian",7302,"manhattan","manhattan","not nyc",2015-09-23,2016-09-23,2015,2016
33987,"Pomeranian",11978,"queens","queens","westhampton beach",2015-09-24,2016-09-24,2015,2016
34051,"Shetland Sheepdog",11978,"queens","queens","westhampton beach",2015-09-24,2016-09-29,2015,2016
34160,"American Pit Bull Terrier/Pit Bull",18705,"brooklyn","brooklyn","wilkes barre",2015-09-25,2016-11-03,2015,2016
34170,"Shih Tzu",11590,"queens","queens","westbury",2015-09-25,2016-09-25,2015,2016
34378,"Puggle",10029,"bronx","bronx","new york",2015-09-28,2016-09-28,2015,2016
34473,"Yorkshire Terrier",11385,"brooklyn","brooklyn","queens",2015-09-29,2016-10-02,2015,2016
34863,"Havanese",11001,"queens","queens","not nyc",2015-10-03,2016-10-03,2015,2016
34876,"Miniature Schnauzer",11001,"queens","queens","not nyc",2015-10-03,2016-10-03,2015,2016
35298,"Rhodesian Ridgeback",11791,"queens","queens","syosset",2015-10-07,2016-10-07,2015,2016
35553,"Chihuahua",10029,"bronx","bronx","new york",2015-10-09,2016-10-09,2015,2016
35614,"Morkie",14228,"brooklyn","brooklyn","buffalo",2015-10-10,2016-10-10,2015,2016
35615,"Australian Cattledog",11385,"brooklyn","brooklyn","queens",2015-10-10,2016-10-10,2015,2016
35652,"Golden Retriever",11021,"staten island","staten","great neck",2015-10-10,2016-10-10,2015,2016
36168,"Unknown",11580,"queens","queens","valley stream",2015-10-15,2016-09-15,2015,2016
36471,"Maltese",11040,"queens","queens","new hyde park",2015-10-17,2016-09-29,2015,2016
36561,"Bull Dog, English",11040,"queens","queens","new hyde park",2015-10-18,2016-09-11,2015,2016
36924,"Poodle, Toy",10028,"new york","unknown","new york",2015-10-21,2016-10-30,2015,2016
37221,"American Eskimo dog",11040,"queens","queens","new hyde park",2015-10-22,2016-10-07,2015,2016
37301,"Poodle, Standard",11001,"queens","queens","not nyc",2015-10-23,2016-03-11,2015,2016
37438,"Terrier mix",10009,"brooklyn","brooklyn","new york",2015-10-24,2016-10-24,2015,2016
37551,"Chihuahua",10701,"bronx","bronx","yonkers",2015-10-26,2016-10-26,2015,2016
37585,"Unknown",10306,"bronx","bronx","staten",2015-10-26,2016-10-30,2015,2016
38007,"Staffordshire Bull Terrier",7624,"manhattan","manhattan","closter",2015-10-29,2016-10-29,2015,2016
38037,"Chinese Crested",12083,"queens","queens","greenville",2015-10-30,2016-10-30,2015,2016
38123,"German Shepherd Dog",10606,"bronx","bronx","white plains",2015-10-31,2016-10-31,2015,2016
38142,"Yorkshire Terrier",10464,"manhattan","manhattan","bronx",2015-11-01,2016-11-01,2015,2016
38586,"Dachshund",11205,"manhattan","manhattan","brooklyn",2015-11-05,2016-11-28,2015,2016
38673,"Shih Tzu",10466,"manhattan","manhattan","bronx",2015-11-06,2016-11-06,2015,2016
38823,"American Pit Bull Terrier/Pit Bull",10301,"queens","queens","staten",2015-11-07,2016-11-07,2015,2016
38939,"Labrador Retriever",90036,"brooklyn","brooklyn","los angeles",2015-11-09,2016-11-03,2015,2016
38975,"Boston Terrier",90036,"brooklyn","brooklyn","los angeles",2015-11-09,2016-11-25,2015,2016
39147,"Chihuahua",11001,"queens","queens","not nyc",2015-11-10,2016-11-10,2015,2016
39244,"Jack Russell Terrier",10036,"new york","unknown","new york",2015-11-10,2016-11-10,2015,2016
39807,"Pug",9012,"manhattan","manhattan","apo",2015-11-16,2016-10-15,2015,2016
39993,"Unknown",10021,"new york","unknown","new york",2015-11-17,2016-11-14,2015,2016
40103,"Labrador Retriever",77005,"manhattan","manhattan","houston",2015-11-17,2016-10-17,2015,2016
40109,"Cocker Spaniel",11516,"queens","queens","cedarhurst",2015-11-17,2016-12-02,2015,2016
40569,"Unknown",11378,"manhattan","manhattan","queens",2015-11-23,2016-12-04,2015,2016
40627,"Unknown",11050,"queens","queens","port washington",2015-11-23,2016-07-30,2015,2016
40685,"Yorkshire Terrier",11236,"bronx","bronx","brooklyn",2015-11-23,2016-10-26,2015,2016
40936,"Pomeranian",11021,"queens","queens","great neck",2015-11-25,2016-10-12,2015,2016
40998,"Shih Tzu Crossbreed",7302,"jersey city","not nyc","not nyc",2015-11-26,2016-11-26,2015,2016
41118,"American Pit Bull Terrier/Pit Bull",10301,"manhattan","manhattan","staten",2015-11-28,2016-11-28,2015,2016
41122,"Beagle",53494,"bronx","bronx",NA,2015-11-28,2016-11-28,2015,2016
41233,"American Pit Bull Terrier/Pit Bull",10703,"bronx","bronx","yonkers",2015-11-29,2016-11-29,2015,2016
41923,"Shih Tzu",10308,"queens","queens","staten",2015-12-04,2016-11-30,2015,2016
42174,"Cavalier King Charles Spaniel",11361,"manhattan","manhattan","queens",2015-12-05,2016-12-05,2015,2016
42199,"American Pit Bull Mix / Pit Bull Mix",10016,"brooklyn","brooklyn","new york",2015-12-06,2016-12-06,2015,2016
42468,"Rottweiler Crossbreed",11040,"queens","queens","new hyde park",2015-12-08,2016-12-08,2015,2016
42649,"Yorkshire Terrier",10704,"bronx","bronx","yonkers",2015-12-09,2016-12-09,2015,2016
43115,"Morkie",11580,"queens","queens","valley stream",2015-12-12,2016-12-12,2015,2016
43211,"Great Pyrenees",94109,"san francisco","not nyc","not nyc",2015-12-13,2016-12-13,2015,2016
43388,"Maltese",11001,"queens","queens","not nyc",2015-12-15,2016-12-15,2015,2016
43545,"Unknown",12218,"brooklyn","brooklyn",NA,2015-12-16,2016-12-30,2015,2016
43693,"Labrador Retriever Crossbreed",11001,"queens","queens","not nyc",2015-12-17,2017-01-28,2015,2017
43995,"Shih Tzu",11211,"queens","queens","brooklyn",2015-12-20,2016-12-20,2015,2016
44087,"American Pit Bull Mix / Pit Bull Mix",11001,"queens","queens","not nyc",2015-12-21,2016-12-13,2015,2016
44265,"Weimaraner",11040,"queens","queens","new hyde park",2015-12-22,2017-01-30,2015,2017
44474,"American Pit Bull Terrier/Pit Bull",10459,"manhattan","manhattan","bronx",2015-12-23,2016-12-23,2015,2016
44522,"Labrador Retriever",11001,"queens","queens","not nyc",2015-12-23,2018-12-20,2015,2018
44779,"American Pit Bull Mix / Pit Bull Mix",11714,"bronx","bronx","bethpage",2015-12-28,2016-12-28,2015,2016
44782,"Yorkshire Terrier",11743,"queens","queens","huntington",2015-12-28,2016-12-28,2015,2016
44885,"Shih Tzu",10466,"manhattan","manhattan","bronx",2015-12-28,2017-01-13,2015,2017
45025,"Mastiff, French (Dogue de Bordeaux)",11743,"queens","queens","huntington",2015-12-29,2016-12-29,2015,2016
45485,"Jack Russell Terrier",11205,"manhattan","manhattan","brooklyn",2016-01-03,2017-02-13,2016,2017
45565,"Yorkshire Terrier",7013,"queens","queens","clifton",2016-01-03,2016-10-27,2016,2016
46189,"Shih Tzu",10805,"bronx","bronx","new rochelle",2016-01-07,2017-01-19,2016,2017
46376,"Poodle",11001,"queens","queens","not nyc",2016-01-08,2017-01-09,2016,2017
46401,"Labrador Retriever",11201,"manhattan","manhattan","brooklyn",2016-01-09,2017-01-09,2016,2017
46639,"Maltese",11358,"brooklyn","brooklyn","queens",2016-01-11,2017-01-11,2016,2017
47164,"American Staffordshire Terrier",10019,"queens","queens","new york",2016-01-13,2017-01-13,2016,2017
47343,"Shih Tzu",10708,"bronxville","not nyc","not nyc",2016-01-14,2017-02-04,2016,2017
47468,"Maltese",10010,"new york","unknown","new york",2016-01-14,2017-03-13,2016,2017
47524,"Shiba Inu",10038,"brooklyn","brooklyn","new york",2016-01-14,2017-03-02,2016,2017
47601,"Unknown",11379,"bronx","bronx","queens",2016-01-14,2017-02-16,2016,2017
