"RowNumber","BreedName","ZipCode","Borough","cleaned_borough","supposed_borough","issued_year","expired_year"
16055,"Chihuahua",10108,"manhattan","manhattan",NA,2015,2016
16087,"Poodle, Toy",10128,"new york","unknown","manhattan",2015,2016
16411,"Pomeranian",11234,"manhattan","manhattan","brooklyn",2015,2016
16749,"Unknown",10308,"brooklyn","brooklyn","staten",2015,2016
16921,"Unknown",12237,"brooklyn","brooklyn",NA,2015,2016
17389,"American Staffordshire Terrier",11040,"queens","queens",NA,2015,2018
17397,"Shih Tzu",10458,"manhattan","manhattan","bronx",2015,2016
17435,"Pomeranian",8901,"manhattan","manhattan",NA,2015,2016
17477,"Poodle, Toy",32163,"the villages","not nyc",NA,2015,2017
17594,"Havanese",10185,"manhattan","manhattan",NA,2015,2016
17796,"Pekingese",10705,"bronx","bronx",NA,2015,2017
17869,"Labrador Retriever",10901,"manhattan","manhattan",NA,2015,2016
17996,"Havanese",11023,"queens","queens",NA,2015,2016
18000,"Chihuahua",11757,"queens","queens",NA,2015,2016
18035,"Shih Tzu",10156,"manhattan","manhattan",NA,2015,2016
18122,"Siberian Husky",22223,"brooklyn","brooklyn",NA,2015,2016
18145,"American Pit Bull Mix / Pit Bull Mix",10463,"manhattan","manhattan","bronx",2015,2016
18206,"Havanese",11023,"queens","queens",NA,2015,2016
18276,"Jack Russell Terrier",11003,"queens","queens",NA,2015,2016
18428,"Unknown",10009,"new york","unknown","manhattan",2015,2016
18550,"Labrador Retriever Crossbreed",11040,"queens","queens",NA,2015,2016
18634,"Maltese",10036,"new york","unknown","manhattan",2015,2016
19465,"Maltese",11223,"staten island","staten","brooklyn",2015,2016
19799,"Golden Retriever",10185,"manhattan","manhattan",NA,2015,2016
20014,"Poodle, Miniature",11377,"brooklyn","brooklyn","queens",2015,2016
20605,"Yorkshire Terrier",11001,"queens","queens",NA,2015,2016
20701,"American Pit Bull Terrier/Pit Bull",53494,"bronx","bronx",NA,2015,2016
21568,"Yorkshire Terrier",14432,"bronx","bronx",NA,2015,2016
21663,"Yorkshire Terrier",14432,"bronx","bronx",NA,2015,2016
22250,"Pomeranian",11229,"bronx","bronx","brooklyn",2015,2016
22374,"Bull Dog, English",11783,"manhattan","manhattan",NA,2015,2018
22621,"Pekingese",11784,"staten island","staten",NA,2015,2016
23074,"German Shepherd Dog",10533,"bronx","bronx",NA,2015,2016
23247,"Unknown",10009,"brooklyn","brooklyn","manhattan",2015,2017
23354,"Unknown",10023,"brooklyn","brooklyn","manhattan",2015,2016
23388,"Wire Fox Terrier",11386,"queens","queens",NA,2015,2019
23523,"Shiba Inu",11385,"brooklyn","brooklyn","queens",2015,2016
23817,"Rat Terrier",10457,"manhattan","manhattan","bronx",2015,2016
23912,"Shih Tzu",10463,"manhattan","manhattan","bronx",2015,2016
23921,"Shih Tzu",10463,"manhattan","manhattan","bronx",2015,2016
24020,"Unknown",11379,"brooklyn","brooklyn","queens",2015,2016
24202,"Labrador Retriever Crossbreed",11694,"brooklyn","brooklyn","queens",2015,2016
