"row_number","breed_name","zip_code","borough","cleaned_borough","final_borough","issued_year","expired_year","pit_bull"
2582,"vizsla",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2583,"unknown",10309,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2598,"american pit bull mix / pit bull mix",10314,"staten island","Staten Island","Staten Island",2015,2016,TRUE
2599,"shih tzu",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2611,"labrador retriever crossbreed",10307,"staten island","Staten Island","Staten Island",2015,2018,FALSE
2617,"unknown",10308,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2636,"american pit bull mix / pit bull mix",10305,"staten island","Staten Island","Staten Island",2015,2016,TRUE
2638,"parson russell terrier",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2670,"yorkshire terrier",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2673,"rottweiler",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2679,"american pit bull mix / pit bull mix",10302,"staten island","Staten Island","Staten Island",2015,2016,TRUE
2687,"labrador retriever",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2697,"cairn terrier",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2708,"american pit bull mix / pit bull mix",10310,"staten island","Staten Island","Staten Island",2015,2016,TRUE
2709,"american pit bull terrier/pit bull",10307,"staten island","Staten Island","Staten Island",2015,2016,TRUE
2747,"american staffordshire terrier",10308,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2785,"labrador retriever",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2788,"german shepherd dog",10301,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2789,"unknown",10306,"staten island","Staten Island","Staten Island",2015,2018,FALSE
2834,"golden retriever",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2840,"golden retriever",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2879,"german shepherd dog",10301,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2979,"dachshund smooth coat miniature",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2989,"yorkshire terrier",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3047,"bichon frise",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3050,"yorkshire terrier",10310,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3052,"shih tzu",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3058,"bichon frise",10310,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3078,"labrador retriever crossbreed",10302,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3079,"labrador retriever crossbreed",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3086,"cavalier king charles spaniel",10302,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3094,"unknown",10307,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3120,"golden retriever",10310,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3122,"labrador retriever",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3124,"unknown",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3159,"jack russell terrier",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3171,"beagle",10301,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3216,"pug",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3223,"unknown",10301,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3246,"unknown",10303,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3255,"unknown",10310,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3282,"unknown",10303,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3290,"australian shepherd",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3314,"bull dog, english",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3337,"unknown",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3346,"bull dog, french",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3350,"labrador retriever",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3356,"german shepherd dog",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3360,"labrador retriever",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3362,"labrador retriever crossbreed",10310,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3363,"cocker spaniel",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3420,"beagle",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3439,"dachshund smooth coat",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3448,"shih tzu",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3451,"german shepherd dog",10310,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3459,"boxer",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3484,"unknown",10310,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3485,"jack russell terrier",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3506,"unknown",10301,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3584,"shetland sheepdog",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3589,"labrador retriever",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3593,"american pit bull mix / pit bull mix",10303,"staten island","Staten Island","Staten Island",2015,2016,TRUE
3598,"unknown",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3599,"dutch shepherd",10308,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3613,"australian shepherd",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3672,"unknown",10301,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3678,"labrador retriever",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3680,"unknown",10309,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3684,"unknown",10310,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3717,"unknown",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3721,"maltese",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3726,"labrador retriever crossbreed",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3740,"bull dog, english",10309,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3741,"miniature pinscher",10301,"staten island","Staten Island","Staten Island",2015,2016,FALSE
