"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","pit_bull","zip_match","zip_code_imputed"
4999,2017-07-25,"DOG","SHEPARD MIX",2,"M",FALSE,"Manhattan",NA,FALSE,NA,"10065"
5000,2017-08-01,"DOG","BORDER COLLIE/LAB",8,"F",TRUE,"Manhattan","10040",FALSE,TRUE,"10040"
5001,2017-07-22,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan","10032",TRUE,TRUE,"10032"
5002,2017-08-06,"DOG","Australian Shepherd",1,"M",TRUE,"Manhattan","10010",FALSE,TRUE,"10010"
5003,2017-08-06,"DOG","Wheaton Terrier",NA,"M",FALSE,"Manhattan",NA,FALSE,NA,"10029"
5004,2017-08-05,"DOG","AUSTRALIAN CATTLE DOG",6,"M",TRUE,"Manhattan","10009",FALSE,TRUE,"10009"
5005,2017-08-08,"DOG","UNKNOWN",NA,"U",FALSE,"Manhattan","10011",FALSE,TRUE,"10011"
5006,2017-08-04,"DOG","Chihuahua Crossbreed",4,"M",TRUE,"Manhattan","10031",FALSE,TRUE,"10031"
5007,2017-08-08,"DOG","TERRIER MIX",7,"M",TRUE,"Manhattan","10013",FALSE,TRUE,"10013"
5008,2017-08-04,"DOG","Chihuahua Crossbreed",NA,"U",FALSE,"Manhattan","10024",FALSE,TRUE,"10024"
5009,2017-08-09,"DOG","Pekingese",NA,"U",FALSE,"Manhattan","10002",FALSE,TRUE,"10002"
5010,2017-08-09,"DOG","Boston Terrier",9,"M",TRUE,"Manhattan","10028",FALSE,TRUE,"10028"
5011,2017-08-10,"DOG","Cotton De Tulear",3,"M",TRUE,"Manhattan","10024",FALSE,TRUE,"10024"
5012,2017-08-09,"DOG","American Staffordshire Terrier",2,"M",FALSE,"Manhattan","10029",FALSE,TRUE,"10029"
5013,2017-08-08,"DOG","TERRIER MIX",8,"M",TRUE,"Manhattan","10021",FALSE,TRUE,"10021"
5014,2017-08-12,"DOG","American Pit Bull Mix / Pit Bull Mix",3,"F",FALSE,"Manhattan",NA,TRUE,NA,"10011"
5015,2017-08-12,"DOG","Golden Retriever",NA,"U",FALSE,"Manhattan","10023",FALSE,TRUE,"10023"
5016,2017-08-08,"DOG","Siberian Husky",2,"M",TRUE,"Manhattan","10040",FALSE,TRUE,"10040"
5017,2017-08-10,"DOG","SHARPEI/ BRITTANY",1,"M",TRUE,"Manhattan","10003",FALSE,TRUE,"10003"
5018,2017-08-12,"DOG","Pit Bull",7,"M",FALSE,"Manhattan",NA,TRUE,NA,"10029"
5019,2017-08-12,"DOG","American Pit Bull Mix / Pit Bull Mix",3,"F",FALSE,"Manhattan",NA,TRUE,NA,"10027"
5020,2017-08-14,"DOG","Chihuahua",NA,"U",FALSE,"Manhattan","10028",FALSE,TRUE,"10028"
5021,2017-08-14,"DOG","Chihuahua",NA,"U",FALSE,"Manhattan","10013",FALSE,TRUE,"10013"
5022,2017-08-13,"DOG","Pit Bull",1,"F",FALSE,"Manhattan","10030",TRUE,TRUE,"10030"
5023,2017-08-17,"DOG","SHEEP DOG",2,"F",FALSE,"Manhattan",NA,FALSE,NA,"10019"
5024,2017-08-15,"DOG","CHIHUAHUA MIX",7,"M",TRUE,"Manhattan","10012",FALSE,TRUE,"10012"
5025,2017-08-16,"DOG","Chihuahua",NA,"U",FALSE,"Manhattan","10023",FALSE,TRUE,"10023"
5026,2017-08-16,"DOG","Doberman Pinscher",3,"M",FALSE,"Manhattan","10002",FALSE,TRUE,"10002"
5027,2017-08-18,"DOG","Brussels Griffon",4,"M",TRUE,"Manhattan","10019",FALSE,TRUE,"10019"
5028,2017-08-11,"DOG","German Shepherd",9,"M",FALSE,"Manhattan","10024",FALSE,TRUE,"10024"
5029,2017-08-21,"DOG","Siberian Husky",NA,"U",FALSE,"Manhattan","10019",FALSE,TRUE,"10019"
5030,2017-08-17,"DOG","MASTIFF OR CANE CORSO",NA,"U",FALSE,"Manhattan","10024",FALSE,TRUE,"10024"
5031,2017-08-18,"DOG","MONGREL MIX",16,"F",TRUE,"Manhattan","10014",FALSE,TRUE,"10014"
5032,2017-08-22,"DOG","Shih Tzu",10,"F",FALSE,"Manhattan","10128",FALSE,TRUE,"10128"
5033,2017-08-22,"DOG","Rhodesian Ridgeback",2,"M",FALSE,"Manhattan","10003",FALSE,TRUE,"10003"
5034,2017-08-21,"DOG","American Pit Bull Terrier/Pit Bull",2,"M",TRUE,"Manhattan",NA,TRUE,NA,"10023"
5035,2017-08-23,"DOG","Shih Tzu",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10032"
5036,2017-08-19,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan","10009",TRUE,TRUE,"10009"
5037,2017-08-24,"DOG","Schnauzer, Standard",NA,"U",FALSE,"Manhattan","10009",FALSE,TRUE,"10009"
5038,2017-08-27,"DOG","German Shepherd",8,"F",TRUE,"Manhattan","10037",FALSE,TRUE,"10037"
5039,2017-08-25,"DOG","American Pit Bull Mix / Pit Bull Mix",1,"M",TRUE,"Manhattan","10036",TRUE,TRUE,"10036"
5040,2017-08-12,"DOG","German Shepherd",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10029"
5041,2017-08-02,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan","10001",TRUE,TRUE,"10001"
5042,2017-08-22,"DOG","Jack Russ",8,"F",TRUE,"Manhattan","10029",FALSE,TRUE,"10029"
5043,2017-08-27,"DOG","Cairn Terrier",12,"M",TRUE,"Manhattan","10027",FALSE,TRUE,"10027"
5044,2017-08-27,"DOG","Pomeranian",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10021"
