"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","pit_bull"
115,2015-04-13,"DOG","Chihuahua",9,"M",FALSE,"Brooklyn","11208",FALSE
116,2015-04-14,"DOG","American Pit Bull Mix / Pit Bull Mix",2,"F",TRUE,"Brooklyn","11216",TRUE
117,2015-04-10,"DOG","American Pit Bull Terrier/Pit Bull",3,"M",TRUE,"Brooklyn",NA,TRUE
118,2015-04-10,"DOG","Siberian Husky",NA,"U",FALSE,"Brooklyn","11226",FALSE
119,2015-04-14,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
120,2015-04-16,"DOG","American Pit Bull Terrier/Pit Bull",1,"F",FALSE,"Brooklyn","11208",TRUE
121,2015-04-16,"DOG","Rottweiler",1,"M",TRUE,"Brooklyn","11228",FALSE
122,2015-04-14,"DOG","Beagle Crossbreed",19,"M",FALSE,"Brooklyn","11214",FALSE
123,2015-04-18,"DOG","AUSTRALIAN CATTLE",NA,"F",FALSE,"Brooklyn",NA,FALSE
124,2015-04-11,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn","11207",TRUE
125,2015-04-15,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
126,2015-04-19,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11221",TRUE
127,2015-04-19,"DOG","German Shepherd Crossbreed",15,"F",TRUE,"Brooklyn","11222",FALSE
128,2015-04-17,"DOG","Border Terrier",3,"M",TRUE,"Brooklyn",NA,FALSE
129,2015-04-17,"DOG","American Pit Bull Terrier/Pit Bull",3,"M",FALSE,"Brooklyn","11231",TRUE
130,2015-04-19,"DOG","ITALIAN MASTIFF",3,"F",FALSE,"Brooklyn","11221",FALSE
131,2015-04-12,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11235",TRUE
132,2015-04-19,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11221",TRUE
133,2015-04-17,"DOG","BEAGLE/JACK RUSS",4,"M",TRUE,"Brooklyn","11224",FALSE
134,2015-04-19,"DOG","American Pit Bull Terrier/Pit Bull",5,"M",TRUE,"Brooklyn","11218",TRUE
135,2015-04-22,"DOG","Maltese",7,"F",TRUE,"Brooklyn","11237",FALSE
136,2015-04-23,"DOG","Cane Corso",15,"F",FALSE,"Brooklyn","11238",FALSE
137,2015-04-23,"DOG","PARSON RUSSELLTERR",2,"M",TRUE,"Brooklyn","11231",FALSE
138,2015-04-24,"DOG","Poodle, Standard",NA,"U",FALSE,"Brooklyn","11221",FALSE
139,2015-04-25,"DOG","Shih Tzu",5,"M",TRUE,"Brooklyn","11219",FALSE
140,2015-04-26,"DOG","American Staffordshire Terrier",2,"M",FALSE,"Brooklyn","11212",FALSE
141,2015-04-25,"DOG","American Pit Bull Terrier/Pit Bull",3,"M",FALSE,"Brooklyn","11221",TRUE
142,2015-04-25,"DOG","American Pit Bull Terrier/Pit Bull",3,"M",FALSE,"Brooklyn","11221",TRUE
185,2015-05-09,"DOG","Siberian Husky",NA,"U",FALSE,"Brooklyn",NA,FALSE
143,2015-04-27,"DOG","American Pit Bull Terrier/Pit Bull",2,"M",FALSE,"Brooklyn","11218",TRUE
144,2015-04-20,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11218",TRUE
145,2015-04-25,"DOG","UNKNOWN",NA,"U",FALSE,"Brooklyn","11201",FALSE
146,2015-04-25,"DOG","German Shepherd",7,"M",TRUE,"Brooklyn","11234",FALSE
147,2015-04-11,"DOG","American Pit Bull Terrier/Pit Bull",3,"F",TRUE,"Brooklyn","11220",TRUE
148,2015-04-29,"DOG","Pug",3,"M",TRUE,"Brooklyn","11223",FALSE
149,2015-04-29,"DOG","POINTER/BEAGLE X",7,"F",FALSE,"Brooklyn","11249",FALSE
150,2015-04-29,"DOG","SHIBA INU",5,"M",TRUE,"Brooklyn","11221",FALSE
151,2015-04-26,"DOG","Chihuahua",2,"F",FALSE,"Brooklyn","11220",FALSE
152,2015-04-30,"DOG","GERMAN SHEPHERD/RIDGEBACK",5,"M",TRUE,"Brooklyn","11231",FALSE
153,2015-05-01,"DOG","Bichon Frise",8,"M",TRUE,"Brooklyn","11223",FALSE
154,2015-05-01,"DOG","STAFFORDSHIRE TERR",7,"F",TRUE,"Brooklyn","11221",FALSE
155,2015-04-19,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11223",TRUE
156,2015-05-02,"DOG","Chihuahua Crossbreed",NA,"U",FALSE,"Brooklyn","11214",FALSE
157,2015-05-02,"DOG","Collie, Border",14,"M",TRUE,"Brooklyn","11234",FALSE
158,2015-05-04,"DOG","American Pit Bull Mix / Pit Bull Mix",8,"M",FALSE,"Brooklyn","11204",TRUE
159,2015-05-04,"DOG","Belgian Malinois",NA,"U",FALSE,"Brooklyn","11213",FALSE
160,2015-05-01,"DOG","Boxer",2,"M",TRUE,"Brooklyn","11237",FALSE
161,2015-05-01,"DOG","MALTESE - X",3,"F",FALSE,"Brooklyn","11209",FALSE
162,2015-05-05,"DOG","German Shepherd",NA,"U",FALSE,"Brooklyn","11220",FALSE
163,2015-05-01,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
164,2015-05-06,"DOG","Collie, Smooth Coat",10,"F",TRUE,"Brooklyn","11220",FALSE
165,2015-05-06,"DOG","CHIHUAHUA/BOSTON TERR X",5,"M",TRUE,"Brooklyn","11222",FALSE
166,2015-04-08,"DOG","HUSKY/CATTLE DOG MIX",4,"M",TRUE,"Brooklyn",NA,FALSE
167,2015-04-08,"DOG","HUSKY/CATTLE MIX",4,"M",TRUE,"Brooklyn",NA,FALSE
168,2015-05-10,"DOG","American Pit Bull Terrier/Pit Bull",13,"M",TRUE,"Brooklyn","11234",TRUE
169,2015-05-10,"DOG","American Staffordshire Terrier",2,"M",FALSE,"Brooklyn","11228",FALSE
170,2015-05-09,"DOG","Siberian Husky",14,"M",TRUE,"Brooklyn","11231",FALSE
171,2015-05-09,"DOG","American Pit Bull Mix / Pit Bull Mix",5,"F",TRUE,"Brooklyn","11208",TRUE
172,2015-05-01,"DOG","American Staffordshire Terrier",8,"M",TRUE,"Brooklyn","11217",FALSE
173,2015-05-03,"DOG","American Pit Bull Terrier/Pit Bull",NA,"F",FALSE,"Brooklyn","11231",TRUE
174,2015-05-07,"DOG","Australian Shepherd",5,"M",TRUE,"Brooklyn","11238",FALSE
175,2015-05-09,"DOG","American Pit Bull Terrier/Pit Bull",8,"M",TRUE,"Brooklyn","11219",TRUE
176,2015-05-11,"DOG","American Pit Bull Terrier/Pit Bull",2,"F",FALSE,"Brooklyn","11218",TRUE
177,2015-04-25,"DOG","Shih Tzu",4,"M",TRUE,"Brooklyn","11226",FALSE
178,2015-05-03,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn","11235",TRUE
179,2015-05-10,"DOG","American Pit Bull Mix / Pit Bull Mix",3,"F",FALSE,"Brooklyn",NA,TRUE
180,2015-05-12,"DOG","American Pit Bull Mix / Pit Bull Mix",5,"M",TRUE,"Brooklyn","11213",TRUE
181,2015-05-12,"DOG","Bloodhound",4,"M",TRUE,"Brooklyn","11231",FALSE
182,2015-05-12,"DOG","Jack Russ",10,"M",TRUE,"Brooklyn","11215",FALSE
183,2015-05-14,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11211",TRUE
184,2015-05-14,"DOG","Cocker Spaniel, American",10,"M",TRUE,"Brooklyn","11220",FALSE
186,2015-05-14,"DOG","American Pit Bull Terrier/Pit Bull",6,"M",FALSE,"Brooklyn","11232",TRUE
187,2015-05-12,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
